appid,name,tag_id,tag_name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,search_total_reviews,korean_reviews,korean_positive_percent,search_rank,search_sort,review_score_desc,priority
393380,Squad,9,Strategy,Very Positive,Very Positive,매우 긍정적,81.18,82688,1117,75.65,178,Reviews_ASC,Very Positive,112
1363080,Manor Lords,9,Strategy,Very Positive,Very Positive,매우 긍정적,84.34,38687,1109,73.58,72,Reviews_ASC,Very Positive,113
246620,Plague Inc: Evolved,9,Strategy,Very Positive,Very Positive,매우 긍정적,94.26,25946,1063,92.47,78,Reviews_ASC,Very Positive,114
203770,Crusader Kings II,9,Strategy,Very Positive,Very Positive,매우 긍정적,90.55,47697,1054,91.37,563,Reviews_ASC,Very Positive,115
1244460,Jurassic World Evolution 2,9,Strategy,Very Positive,Very Positive,매우 긍정적,90.32,20011,1047,84.15,299,Reviews_ASC,Very Positive,116
364360,Total War: WARHAMMER,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,78.49,18129,1023,86.41,107,Reviews_ASC,Mostly Positive,117
686810,Hell Let Loose,9,Strategy,Very Positive,Very Positive,매우 긍정적,81.82,61818,1008,73.51,100,Reviews_ASC,Very Positive,118
371660,Far Cry® Primal,9,Strategy,Very Positive,Very Positive,매우 긍정적,86.26,14145,872,75.8,548,Reviews_ASC,Very Positive,119
466560,Northgard: Definitive Edition,9,Strategy,Very Positive,Very Positive,매우 긍정적,85.31,23092,867,76.82,278,Reviews_ASC,Very Positive,120
674940,Stick Fight: The Game,9,Strategy,Very Positive,Very Positive,매우 긍정적,93.49,52491,858,91.03,414,Reviews_ASC,Very Positive,121
365360,Battle Brothers,9,Strategy,Very Positive,Very Positive,매우 긍정적,88.04,14862,812,91.13,153,Reviews_ASC,Very Positive,122
218230,PlanetSide 2,9,Strategy,Very Positive,Very Positive,매우 긍정적,80.53,47371,802,76.43,675,Reviews_ASC,Very Positive,123
