appid,name,overall_rating_bin,overall_positive_review_percent,korean_reviews,korean_positive_percent,search_rank,review_score_desc,priority
1527950,Wartales,80-090,85.0,1857,91.28,2563,Very Positive,117
1044720,Farthest Frontier,80-090,86.0,476,84.24,2564,Very Positive,118
314160,Microsoft Flight Simulator X: Steam Edition,80-090,86.0,271,84.87,2565,Very Positive,119
690830,Foundation,80-090,86.0,418,75.36,2566,Very Positive,120
682990,Drug Dealer Simulator,80-090,85.0,120,59.17,2567,Very Positive,121
858810,Dawn of Man,80-090,85.0,269,77.32,2568,Very Positive,122
2780980,LOCKDOWN Protocol,80-090,83.0,242,88.84,2570,Very Positive,123
469600,Legion TD 2 - Multiplayer Tower Defense,80-090,86.0,222,93.24,2571,Very Positive,124
270550,Yet Another Zombie Defense,80-090,86.0,298,80.54,2572,Very Positive,125
496300,Kingdom: New Lands,80-090,85.0,301,75.08,2573,Very Positive,126
2140020,Stronghold: Definitive Edition,80-090,83.0,112,83.93,2574,Very Positive,127
1970580,Backpack Hero,80-090,87.0,669,87.14,2579,Very Positive,128
1216320,Shieldwall,80-090,86.0,187,75.94,2581,Very Positive,129
994730,Banner of the Maid,80-090,81.0,164,81.1,2583,Very Positive,130
581630,Sword With Sauce,80-090,86.0,122,82.79,2584,Very Positive,131
1372810,Teamfight Manager,80-090,84.0,2367,88.55,2585,Very Positive,132
790820,Valkyria Chronicles 4 Complete Edition,80-090,88.0,238,81.51,2587,Very Positive,133
2536520,Diablo II: Resurrected – Infernal Edition,80-090,86.0,276,88.04,2589,Very Positive,134
1949190,Necrosmith,80-090,84.0,223,84.3,2591,Very Positive,135
1038370,Trials of Fire,80-090,88.0,127,82.68,2603,Very Positive,136
334310,Plebby Quest: The Crusades,80-090,80.0,658,81.91,2607,Very Positive,137
1305420,Agrou,80-090,80.0,272,88.6,2610,Very Positive,138
2345020,Bee Island,80-090,86.0,135,88.15,2619,Very Positive,139
740080,Deadly Days,80-090,86.0,136,83.82,2625,Very Positive,140
1414180,Motesolo : No Girlfriend Since Birth,80-090,86.0,468,86.54,2642,Very Positive,141
2280540,Last Saintess,80-090,86.0,120,90.0,2683,Very Positive,142
444090,Paladins®,80-090,82.0,2340,81.54,2792,Very Positive,143
281990,Stellaris,80-090,86.0,2301,89.09,2793,Very Positive,144
1466860,Age of Empires IV: Anniversary Edition,80-090,86.0,1221,85.75,2794,Very Positive,145
466560,Northgard: Definitive Edition,80-090,84.0,867,76.82,2795,Very Positive,146
