appid,name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,korean_reviews,korean_positive_percent,search_rank,review_score_desc,priority
531510,Just Shapes & Beats,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.65,1042,96.83,44,Overwhelmingly Positive,180
3862670,Shelldiver,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,98.81,1029,99.32,8,Overwhelmingly Positive,181
636480,Ravenfield,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.74,975,96.31,84,Overwhelmingly Positive,182
1127500,Mini Motorways,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.27,930,96.13,89,Overwhelmingly Positive,183
3590,Plants vs. Zombies GOTY Edition,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.69,887,92.22,37,Overwhelmingly Positive,184
2666510,Rusty's Retirement,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.83,779,96.92,95,Overwhelmingly Positive,185
1062090,Timberborn,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.95,762,94.62,104,Overwhelmingly Positive,186
287980,Mini Metro,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.07,663,95.02,172,Overwhelmingly Positive,187
1012880,60 Seconds! Reatomized,Very Positive,Very Positive,매우 긍정적,94.4,633,92.73,234,Very Positive,188
1454400,Cookie Clicker,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.46,609,95.73,83,Overwhelmingly Positive,189
602960,Barotrauma,Very Positive,Very Positive,매우 긍정적,94.01,539,87.94,156,Very Positive,190
10,Counter-Strike,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.41,538,93.31,79,Overwhelmingly Positive,191
1599600,PlateUp!,Very Positive,Very Positive,매우 긍정적,94.75,526,94.87,240,Very Positive,192
3164500,Schedule I,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.86,508,94.29,29,Overwhelmingly Positive,193
1366540,Dyson Sphere Program,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.49,486,98.15,39,Overwhelmingly Positive,194
1062160,Poly Bridge 2,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.1,403,92.8,180,Overwhelmingly Positive,195
2060160,The Farmer Was Replaced,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.74,397,94.71,120,Overwhelmingly Positive,196
2239150,Thronefall,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.22,395,95.7,90,Overwhelmingly Positive,197
341800,Keep Talking and Nobody Explodes,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.31,383,96.08,49,Overwhelmingly Positive,198
2185060,Two Point Museum,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.55,361,92.8,71,Overwhelmingly Positive,199
1455840,Dorfromantik,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.37,329,90.58,88,Overwhelmingly Positive,200
1318690,shapez,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.96,323,95.67,616,Overwhelmingly Positive,201
4700,Total War: MEDIEVAL II – Definitive Edition,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.65,307,93.16,168,Overwhelmingly Positive,202
246420,Kingdom Rush  - Tower Defense,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.26,293,96.59,50,Overwhelmingly Positive,203
1239080,Door Kickers 2: Task Force North,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.08,290,94.83,96,Overwhelmingly Positive,204
3265700,Vampire Crawlers: The Turbo Wildcard from Vampire Survivors,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.36,268,91.79,42,Overwhelmingly Positive,205
1046030,ISLANDERS,Very Positive,Very Positive,매우 긍정적,94.45,260,90.0,592,Very Positive,206
1102190,Monster Train,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.88,258,93.8,170,Overwhelmingly Positive,207
2162800,shapez 2 - Factory,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.32,254,95.28,52,Overwhelmingly Positive,208
2795000,The WereCleaner,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,99.41,226,99.12,1,Overwhelmingly Positive,209
3320,Insaniquarium Deluxe,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.83,222,85.14,107,Overwhelmingly Positive,210
