game_name,최적화#프레임,최적화#조작감,시스템#버그,콘텐츠#볼륨,콘텐츠#몰입도,시스템#밸런스,시스템#독창성,시스템#자유도,UX#그래픽,UX#캐릭터디자인,UX#사운드,스토리#내러티브,운영#핵/치트,운영#업데이트,콘텐츠#난이도,시스템#진입장벽,콘텐츠#피로도
Battlefield 4™,0.16,0.01,0.2,0.04,0.06,0.21,0.02,0.01,0.01,0.0,0.0,0.03,0.05,0.1,0.14,0.19,0.1
Bellwright,0.14,0.08,0.18,0.11,0.1,0.28,0.05,0.13,0.1,0.13,0.07,0.1,0.07,0.16,0.16,0.22,0.34
Besiege,0.05,0.04,0.11,0.01,0.04,0.14,0.03,0.02,0.03,0.02,0.03,0.03,0.0,0.03,0.14,0.11,0.12
Black Squad,0.08,0.03,0.1,0.04,0.05,0.15,0.02,0.01,0.01,0.01,0.02,0.01,0.09,0.14,0.12,0.09,0.07
Bloons TD 6,0.0,0.0,0.05,0.04,0.01,0.12,0.02,0.03,0.02,0.02,0.0,0.0,0.04,0.07,0.09,0.07,0.13
Broken Arrow,0.2,0.04,0.24,0.06,0.05,0.5,0.09,0.07,0.02,0.05,0.03,0.02,0.16,0.42,0.26,0.33,0.18
Buckshot Roulette,0.0,0.01,0.05,0.03,0.02,0.26,0.03,0.03,0.02,0.04,0.0,0.02,0.01,0.13,0.16,0.12,0.06
Call of Duty®: Modern Warfare® 2 (2009),0.03,0.02,0.05,0.01,0.01,0.06,0.02,0.0,0.02,0.03,0.02,0.02,0.0,0.05,0.06,0.07,0.03
Car Mechanic Simulator 2018,0.05,0.02,0.04,0.0,0.04,0.06,0.04,0.01,0.01,0.0,0.01,0.0,0.01,0.03,0.15,0.12,0.13
Cities: Skylines,0.11,0.02,0.13,0.05,0.04,0.09,0.02,0.03,0.01,0.03,0.0,0.02,0.04,0.16,0.08,0.11,0.12
Cities: Skylines II,0.3,0.12,0.18,0.05,0.04,0.08,0.01,0.04,0.04,0.02,0.03,0.01,0.0,0.08,0.08,0.1,0.05
CloverPit,0.12,0.04,0.2,0.07,0.07,0.22,0.14,0.09,0.03,0.03,0.05,0.05,0.01,0.22,0.1,0.12,0.17
Command & Conquer™ Remastered Collection,0.09,0.04,0.14,0.07,0.0,0.21,0.06,0.11,0.03,0.04,0.02,0.05,0.05,0.2,0.19,0.14,0.1
Company of Heroes 2,0.05,0.01,0.08,0.02,0.06,0.22,0.06,0.01,0.01,0.02,0.0,0.0,0.04,0.12,0.16,0.15,0.07
Company of Heroes 3,0.1,0.05,0.13,0.08,0.09,0.33,0.08,0.04,0.03,0.05,0.03,0.03,0.11,0.32,0.12,0.18,0.07
Conqueror's Blade,0.05,0.02,0.06,0.02,0.07,0.27,0.07,0.05,0.02,0.01,0.01,0.0,0.08,0.19,0.19,0.16,0.09
Cookie Clicker,0.02,0.02,0.06,0.02,0.01,0.13,0.01,0.02,0.01,0.02,0.01,0.0,0.01,0.05,0.16,0.14,0.21
Counter-Strike,0.04,0.02,0.03,0.0,0.0,0.03,0.02,0.0,0.02,0.01,0.0,0.0,0.0,0.05,0.02,0.04,0.01
Counter-Strike 2,0.01,0.0,0.02,0.0,0.02,0.07,0.01,0.01,0.01,0.01,0.0,0.0,0.17,0.02,0.02,0.03,0.04
Counter-Strike: Source,0.01,0.01,0.03,0.0,0.02,0.06,0.0,0.0,0.02,0.02,0.0,0.0,0.04,0.04,0.01,0.07,0.03
Crusader Kings II,0.01,0.02,0.0,0.02,0.0,0.1,0.02,0.03,0.02,0.02,0.01,0.0,0.01,0.04,0.11,0.11,0.07
Crusader Kings III,0.08,0.04,0.08,0.07,0.0,0.18,0.06,0.06,0.07,0.04,0.04,0.05,0.04,0.12,0.24,0.27,0.16
Cult of the Lamb,0.04,0.03,0.07,0.07,0.03,0.14,0.04,0.06,0.05,0.04,0.02,0.02,0.01,0.07,0.12,0.15,0.21
Cultist Simulator,0.02,0.02,0.08,0.07,0.0,0.18,0.05,0.04,0.01,0.04,0.02,0.07,0.07,0.1,0.23,0.32,0.29
DCS World Steam Edition,0.07,0.01,0.12,0.05,0.02,0.09,0.02,0.02,0.0,0.01,0.01,0.01,0.04,0.12,0.19,0.25,0.1
DYNASTY WARRIORS 9 Empires,0.1,0.06,0.1,0.09,0.11,0.3,0.1,0.09,0.09,0.1,0.07,0.05,0.07,0.19,0.14,0.2,0.15
Darkest Dungeon®,0.02,0.02,0.02,0.02,0.03,0.12,0.02,0.02,0.02,0.01,0.0,0.02,0.01,0.01,0.19,0.13,0.22
Dead by Daylight,0.12,0.03,0.13,0.05,0.07,0.29,0.04,0.05,0.0,0.0,0.01,0.02,0.1,0.15,0.19,0.25,0.17
Desperados III,0.03,0.01,0.05,0.06,0.02,0.21,0.05,0.04,0.01,0.02,0.02,0.03,0.01,0.13,0.24,0.22,0.18
Dispatch,0.03,0.0,0.04,0.08,0.0,0.18,0.04,0.06,0.02,0.07,0.01,0.04,0.03,0.05,0.11,0.11,0.15
Divinity: Original Sin - Enhanced Edition,0.19,0.06,0.2,0.06,0.06,0.23,0.04,0.09,0.02,0.03,0.04,0.08,0.06,0.14,0.24,0.36,0.27
Divinity: Original Sin 2 - Definitive Edition,0.03,0.01,0.03,0.04,0.02,0.08,0.06,0.03,0.01,0.01,0.01,0.04,0.03,0.03,0.09,0.15,0.12
Don't Starve Together,0.03,0.0,0.04,0.03,0.01,0.09,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.19,0.17,0.18
Door Kickers 2: Task Force North,0.04,0.07,0.07,0.02,0.01,0.13,0.0,0.04,0.03,0.01,0.05,0.0,0.02,0.05,0.15,0.17,0.08
Dorfromantik,0.05,0.03,0.04,0.06,0.04,0.15,0.05,0.03,0.08,0.07,0.02,0.03,0.02,0.1,0.18,0.21,0.2
Dota 2,0.0,0.01,0.02,0.01,0.06,0.11,0.02,0.02,0.01,0.01,0.01,0.0,0.05,0.05,0.03,0.08,0.03
Dragon Age™ Inquisition,0.2,0.06,0.24,0.04,0.06,0.2,0.05,0.05,0.06,0.09,0.04,0.06,0.08,0.19,0.2,0.21,0.22
Dragon Age™: The Veilguard,0.1,0.04,0.17,0.2,0.16,0.31,0.22,0.17,0.07,0.19,0.12,0.18,0.12,0.15,0.25,0.3,0.36
Dyson Sphere Program,0.07,0.01,0.1,0.03,0.01,0.22,0.03,0.0,0.05,0.04,0.02,0.03,0.07,0.13,0.16,0.22,0.15
EVE Online,0.02,0.01,0.04,0.05,0.03,0.12,0.04,0.04,0.01,0.01,0.01,0.03,0.01,0.06,0.16,0.35,0.1
Elite Dangerous,0.11,0.02,0.13,0.09,0.04,0.18,0.11,0.05,0.02,0.05,0.05,0.05,0.07,0.25,0.2,0.3,0.2
Eternal Return,0.04,0.03,0.04,0.02,0.03,0.15,0.02,0.01,0.02,0.04,0.01,0.01,0.0,0.04,0.12,0.16,0.09
Europa Universalis IV,0.06,0.02,0.07,0.06,0.02,0.12,0.02,0.01,0.0,0.0,0.0,0.0,0.04,0.1,0.09,0.18,0.09
Europa Universalis V,0.3,0.12,0.3,0.09,0.14,0.24,0.14,0.09,0.08,0.1,0.08,0.1,0.09,0.35,0.08,0.19,0.13
FOR HONOR™,0.05,0.01,0.11,0.04,0.05,0.3,0.02,0.03,0.02,0.02,0.0,0.05,0.04,0.12,0.14,0.2,0.11
FTL: Faster Than Light,0.03,0.0,0.08,0.01,0.01,0.2,0.01,0.02,0.0,0.01,0.0,0.0,0.03,0.05,0.2,0.13,0.12
Factorio,0.03,0.02,0.04,0.08,0.07,0.1,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.04,0.11,0.1,0.12
Fallout Shelter,0.04,0.01,0.06,0.05,0.01,0.14,0.02,0.01,0.01,0.01,0.01,0.0,0.04,0.08,0.12,0.19,0.15
Far Cry® Primal,0.07,0.04,0.12,0.06,0.04,0.18,0.03,0.04,0.05,0.05,0.03,0.05,0.04,0.07,0.17,0.15,0.19
Farming Simulator 19,0.07,0.0,0.17,0.05,0.03,0.03,0.0,0.03,0.02,0.01,0.01,0.02,0.0,0.06,0.06,0.1,0.19
Feed and Grow: Fish,0.08,0.01,0.22,0.02,0.01,0.07,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.09,0.06,0.05,0.11
Five Nights at Freddy's 2,0.05,0.02,0.05,0.0,0.0,0.15,0.02,0.02,0.0,0.01,0.0,0.0,0.01,0.04,0.16,0.07,0.04
Football Manager 26,0.2,0.14,0.27,0.09,0.11,0.26,0.12,0.13,0.12,0.08,0.08,0.05,0.11,0.26,0.17,0.22,0.11
For The King,0.08,0.03,0.12,0.03,0.04,0.24,0.03,0.03,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.14,0.11
For The King II,0.11,0.05,0.18,0.09,0.09,0.27,0.12,0.04,0.03,0.04,0.04,0.03,0.06,0.18,0.12,0.18,0.11
Foxhole,0.06,0.03,0.08,0.06,0.04,0.2,0.02,0.02,0.02,0.01,0.02,0.02,0.06,0.13,0.15,0.27,0.2
Frostpunk,0.05,0.01,0.05,0.01,0.01,0.11,0.02,0.02,0.01,0.0,0.0,0.01,0.0,0.03,0.11,0.12,0.11
Frostpunk 2,0.16,0.03,0.22,0.08,0.09,0.18,0.09,0.1,0.01,0.0,0.02,0.04,0.1,0.26,0.11,0.2,0.12
GIRLS' FRONTLINE 2: EXILIUM,0.05,0.01,0.06,0.05,0.05,0.25,0.12,0.07,0.02,0.09,0.0,0.02,0.09,0.23,0.1,0.14,0.17
GROUND BRANCH,0.13,0.08,0.1,0.1,0.04,0.2,0.06,0.07,0.05,0.04,0.05,0.03,0.03,0.14,0.18,0.17,0.15
Geometry Dash,0.03,0.01,0.03,0.01,0.01,0.06,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.03,0.12,0.04,0.07
Getting Over It with Bennett Foddy,0.01,0.0,0.03,0.01,0.01,0.04,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.02,0.1,0.1,0.11
Ghostrunner,0.11,0.03,0.07,0.09,0.05,0.22,0.06,0.07,0.04,0.02,0.04,0.06,0.02,0.11,0.3,0.19,0.15
Goose Goose Duck,0.02,0.02,0.04,0.02,0.0,0.14,0.01,0.02,0.0,0.0,0.0,0.01,0.02,0.02,0.08,0.12,0.12
HUMANKIND™,0.07,0.04,0.1,0.13,0.07,0.2,0.14,0.11,0.07,0.07,0.04,0.1,0.06,0.11,0.11,0.13,0.15
Hearts of Iron IV,0.07,0.02,0.06,0.02,0.05,0.08,0.0,0.01,0.02,0.0,0.0,0.02,0.0,0.09,0.11,0.08,0.03
Hell Let Loose,0.09,0.03,0.12,0.04,0.05,0.16,0.03,0.04,0.03,0.03,0.02,0.01,0.03,0.07,0.23,0.25,0.14
Hitman: Absolution™,0.04,0.04,0.06,0.01,0.0,0.16,0.01,0.01,0.04,0.02,0.02,0.01,0.04,0.08,0.08,0.11,0.08
Holdfast: Nations At War,0.15,0.04,0.12,0.02,0.02,0.14,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.03,0.14,0.18,0.11
ISLANDERS,0.04,0.01,0.07,0.04,0.02,0.18,0.03,0.01,0.02,0.04,0.0,0.02,0.03,0.08,0.18,0.28,0.19
In Silence,0.2,0.06,0.22,0.08,0.09,0.18,0.08,0.05,0.05,0.05,0.04,0.03,0.06,0.31,0.07,0.2,0.09
Insaniquarium Deluxe,0.17,0.03,0.27,0.04,0.01,0.02,0.02,0.02,0.01,0.0,0.01,0.01,0.03,0.06,0.08,0.14,0.13
Inscryption,0.01,0.01,0.05,0.04,0.0,0.17,0.05,0.03,0.0,0.01,0.0,0.04,0.01,0.05,0.13,0.13,0.1
Into the Breach,0.06,0.01,0.07,0.05,0.01,0.13,0.01,0.01,0.0,0.0,0.0,0.01,0.02,0.08,0.19,0.12,0.13
Iron Harvest,0.23,0.2,0.16,0.05,0.07,0.32,0.09,0.06,0.13,0.05,0.14,0.07,0.09,0.15,0.21,0.26,0.23
Jurassic World Evolution,0.08,0.03,0.1,0.05,0.01,0.14,0.04,0.04,0.0,0.02,0.01,0.04,0.02,0.1,0.12,0.12,0.14
Jurassic World Evolution 2,0.02,0.0,0.06,0.02,0.01,0.09,0.02,0.01,0.0,0.0,0.0,0.01,0.03,0.03,0.11,0.09,0.14
Just Shapes & Beats,0.04,0.01,0.04,0.18,0.0,0.14,0.07,0.06,0.03,0.04,0.02,0.06,0.05,0.1,0.23,0.19,0.21
Keep Talking and Nobody Explodes,0.06,0.07,0.13,0.06,0.01,0.13,0.01,0.04,0.04,0.04,0.02,0.0,0.01,0.02,0.2,0.26,0.14
Kerbal Space Program,0.06,0.03,0.03,0.02,0.0,0.06,0.0,0.0,0.02,0.0,0.03,0.02,0.0,0.03,0.1,0.07,0.06
Kingdom Rush  - Tower Defense,0.01,0.01,0.02,0.04,0.0,0.11,0.02,0.02,0.0,0.0,0.0,0.01,0.0,0.02,0.12,0.14,0.1
Liar's Bar,0.05,0.01,0.1,0.05,0.01,0.19,0.03,0.01,0.01,0.04,0.01,0.01,0.03,0.09,0.14,0.11,0.09
Library Of Ruina,0.08,0.05,0.12,0.05,0.04,0.19,0.06,0.03,0.03,0.04,0.04,0.03,0.14,0.17,0.12,0.17,0.09
Limbus Company,0.08,0.01,0.13,0.06,0.03,0.26,0.05,0.04,0.0,0.01,0.0,0.0,0.07,0.18,0.13,0.17,0.09
Lobotomy Corporation | Monster Management Simulation,0.03,0.0,0.05,0.05,0.02,0.13,0.04,0.0,0.0,0.0,0.0,0.03,0.05,0.04,0.19,0.12,0.14
MARVEL SNAP,0.11,0.01,0.15,0.03,0.04,0.22,0.04,0.03,0.0,0.01,0.0,0.01,0.03,0.24,0.16,0.22,0.15
Manor Lords,0.18,0.04,0.22,0.08,0.02,0.23,0.1,0.05,0.01,0.01,0.01,0.01,0.06,0.34,0.15,0.25,0.16
Marvel Rivals,0.03,0.06,0.04,0.04,0.02,0.2,0.03,0.03,0.06,0.03,0.04,0.04,0.01,0.06,0.12,0.11,0.14
Metaphor: ReFantazio,0.16,0.08,0.17,0.11,0.03,0.2,0.09,0.06,0.04,0.11,0.06,0.04,0.05,0.18,0.18,0.24,0.23
Middle-earth™: Shadow of War™,0.07,0.05,0.13,0.12,0.03,0.24,0.07,0.07,0.09,0.14,0.07,0.14,0.08,0.12,0.23,0.22,0.31
Mini Metro,0.04,0.05,0.05,0.05,0.06,0.11,0.04,0.03,0.03,0.02,0.02,0.01,0.0,0.07,0.13,0.15,0.14
Mini Motorways,0.09,0.02,0.11,0.04,0.0,0.11,0.01,0.04,0.03,0.05,0.04,0.01,0.0,0.07,0.28,0.17,0.18
Monster Train,0.02,0.02,0.05,0.05,0.0,0.16,0.06,0.03,0.03,0.07,0.02,0.02,0.04,0.07,0.15,0.16,0.18
Mount & Blade II: Bannerlord,0.06,0.03,0.06,0.03,0.06,0.14,0.04,0.04,0.02,0.01,0.01,0.02,0.04,0.07,0.11,0.08,0.12
Mount & Blade: Warband,0.03,0.0,0.04,0.0,0.02,0.08,0.03,0.0,0.0,0.02,0.0,0.01,0.01,0.02,0.03,0.03,0.03
NARUTO TO BORUTO: SHINOBI STRIKER,0.12,0.06,0.14,0.02,0.04,0.21,0.06,0.02,0.03,0.04,0.04,0.01,0.1,0.1,0.08,0.16,0.1
Northgard: Definitive Edition,0.09,0.01,0.15,0.04,0.05,0.11,0.04,0.07,0.02,0.0,0.01,0.02,0.0,0.11,0.13,0.17,0.16
Overcooked! 2,0.02,0.01,0.01,0.04,0.03,0.08,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.13,0.11,0.15
Oxygen Not Included,0.05,0.03,0.11,0.04,0.02,0.12,0.02,0.03,0.01,0.01,0.01,0.0,0.02,0.06,0.16,0.13,0.15
PAYDAY 2,0.09,0.03,0.1,0.04,0.0,0.04,0.02,0.0,0.02,0.01,0.01,0.0,0.04,0.1,0.06,0.09,0.01
PUBG: BATTLEGROUNDS,0.06,0.02,0.07,0.06,0.05,0.09,0.02,0.01,0.0,0.01,0.01,0.01,0.06,0.13,0.03,0.06,0.07
"Papers, Please",0.03,0.01,0.04,0.01,0.01,0.14,0.02,0.0,0.01,0.01,0.0,0.0,0.02,0.06,0.07,0.1,0.09
Pathfinder: Wrath of the Righteous - Enhanced Edition,0.09,0.06,0.13,0.03,0.03,0.27,0.06,0.04,0.01,0.08,0.04,0.0,0.09,0.12,0.25,0.27,0.29
Persona 3 Portable,0.09,0.09,0.13,0.1,0.04,0.26,0.09,0.11,0.06,0.08,0.05,0.05,0.07,0.2,0.28,0.22,0.31
Persona 3 Reload,0.08,0.04,0.04,0.03,0.0,0.15,0.05,0.02,0.01,0.02,0.02,0.03,0.0,0.06,0.15,0.18,0.25
Persona 4 Golden,0.01,0.0,0.04,0.02,0.04,0.12,0.02,0.02,0.01,0.04,0.0,0.02,0.05,0.07,0.11,0.15,0.13
PixARK,0.1,0.02,0.17,0.06,0.04,0.1,0.03,0.03,0.02,0.01,0.01,0.0,0.01,0.07,0.11,0.13,0.08
Plague Inc: Evolved,0.02,0.02,0.03,0.02,0.01,0.13,0.05,0.02,0.01,0.0,0.01,0.0,0.03,0.09,0.15,0.12,0.13
Planet Coaster,0.06,0.02,0.05,0.03,0.04,0.16,0.03,0.05,0.03,0.02,0.02,0.0,0.04,0.05,0.22,0.21,0.18
Planet Coaster 2,0.21,0.07,0.18,0.06,0.08,0.21,0.08,0.04,0.07,0.03,0.07,0.02,0.07,0.15,0.11,0.13,0.11
Planet Zoo,0.07,0.05,0.06,0.05,0.01,0.13,0.04,0.07,0.04,0.03,0.02,0.03,0.02,0.07,0.21,0.22,0.17
PlanetSide 2,0.11,0.03,0.11,0.05,0.03,0.16,0.01,0.01,0.01,0.0,0.03,0.0,0.16,0.19,0.08,0.15,0.06
Plants vs. Zombies GOTY Edition,0.01,0.01,0.03,0.01,0.01,0.05,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.08,0.05,0.03,0.04
PlateUp!,0.08,0.04,0.1,0.1,0.06,0.23,0.11,0.09,0.06,0.03,0.04,0.04,0.03,0.16,0.21,0.22,0.23
Poly Bridge 2,0.02,0.02,0.01,0.01,0.03,0.07,0.04,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.13,0.11,0.11
Prison Architect,0.13,0.03,0.2,0.04,0.03,0.13,0.03,0.03,0.01,0.03,0.04,0.02,0.03,0.11,0.18,0.26,0.21
Raft,0.0,0.01,0.02,0.01,0.03,0.07,0.01,0.01,0.02,0.01,0.01,0.04,0.0,0.02,0.06,0.1,0.15
Ravenfield,0.09,0.04,0.13,0.05,0.03,0.07,0.01,0.03,0.01,0.0,0.0,0.0,0.02,0.09,0.05,0.11,0.12
Riichi City - Japanese Mahjong,0.04,0.02,0.07,0.03,0.04,0.22,0.08,0.04,0.04,0.05,0.0,0.04,0.07,0.2,0.09,0.13,0.07
RimWorld,0.02,0.0,0.04,0.05,0.1,0.05,0.03,0.01,0.0,0.01,0.0,0.01,0.02,0.03,0.07,0.12,0.09
Romance of the Three Kingdoms XIII,0.0,0.0,0.06,0.02,0.05,0.13,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.1,0.09,0.1,0.07
Rusty's Retirement,0.08,0.01,0.07,0.1,0.04,0.2,0.08,0.05,0.03,0.08,0.03,0.08,0.04,0.08,0.24,0.26,0.36
SMASH LEGENDS,0.06,0.03,0.06,0.07,0.07,0.31,0.01,0.04,0.02,0.01,0.0,0.01,0.06,0.15,0.12,0.2,0.15
Satisfactory,0.05,0.02,0.07,0.06,0.03,0.17,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.09,0.15,0.21,0.2
Schedule I,0.07,0.01,0.08,0.04,0.04,0.2,0.03,0.07,0.02,0.01,0.01,0.01,0.03,0.11,0.12,0.16,0.19
Shadowverse: Worlds Beyond,0.05,0.04,0.02,0.14,0.06,0.25,0.1,0.1,0.04,0.08,0.07,0.08,0.05,0.15,0.2,0.2,0.22
Shelldiver,0.015384615384615385,0.0,0.0,0.046153846153846156,0.0,0.06153846153846154,0.0,0.015384615384615385,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.03076923076923077,0.09230769230769231,0.09230769230769231
Sid Meier's Civilization VII,0.16,0.06,0.15,0.07,0.14,0.27,0.14,0.04,0.06,0.07,0.06,0.05,0.07,0.17,0.13,0.18,0.19
Sid Meier's Civilization® V,0.01,0.0,0.04,0.03,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.09
Sid Meier’s Civilization® VI,0.01,0.0,0.02,0.04,0.02,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.03,0.04,0.08,0.04
Slay the Spire,0.01,0.0,0.02,0.02,0.01,0.12,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.14,0.11,0.1
Slay the Spire 2,0.05,0.0,0.08,0.02,0.03,0.22,0.05,0.03,0.0,0.0,0.0,0.0,0.03,0.18,0.11,0.08,0.07
Space Engineers,0.08,0.04,0.07,0.09,0.01,0.14,0.04,0.04,0.03,0.01,0.02,0.02,0.02,0.11,0.18,0.27,0.16
Spectral Scream,0.11,0.01,0.12,0.05,0.07,0.2,0.04,0.05,0.02,0.01,0.0,0.02,0.07,0.1,0.12,0.23,0.18
Squad,0.16,0.06,0.13,0.02,0.06,0.15,0.02,0.01,0.05,0.01,0.0,0.03,0.05,0.07,0.17,0.23,0.12
Stacklands,0.08,0.03,0.13,0.05,0.02,0.15,0.03,0.07,0.01,0.05,0.0,0.02,0.03,0.19,0.12,0.14,0.15
StarSavior,0.08,0.02,0.11,0.07,0.1,0.18,0.07,0.05,0.08,0.08,0.06,0.05,0.05,0.16,0.09,0.09,0.11
Stellaris,0.03,0.02,0.04,0.07,0.02,0.15,0.02,0.04,0.01,0.0,0.0,0.01,0.01,0.1,0.16,0.15,0.1
Stick Fight: The Game,0.02,0.03,0.06,0.01,0.02,0.11,0.0,0.01,0.02,0.01,0.01,0.0,0.03,0.04,0.06,0.07,0.1
Stoneshard,0.08,0.06,0.14,0.1,0.01,0.28,0.06,0.1,0.04,0.04,0.06,0.06,0.1,0.24,0.25,0.24,0.23
Storm Striker,0.09,0.02,0.09,0.05,0.03,0.23,0.03,0.06,0.03,0.06,0.02,0.03,0.11,0.2,0.12,0.18,0.12
Stranded Deep,0.18,0.03,0.26,0.08,0.06,0.05,0.0,0.05,0.0,0.0,0.01,0.03,0.03,0.23,0.16,0.19,0.16
Sword of Convallaria,0.12,0.03,0.16,0.05,0.04,0.19,0.05,0.05,0.01,0.02,0.03,0.04,0.11,0.24,0.1,0.2,0.13
TRIANGLE STRATEGY,0.03,0.01,0.03,0.08,0.04,0.14,0.04,0.06,0.02,0.03,0.01,0.08,0.03,0.08,0.19,0.24,0.23
Tabletop Simulator,0.04,0.01,0.03,0.02,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.14,0.01
The Bazaar,0.1,0.03,0.11,0.05,0.08,0.35,0.04,0.07,0.03,0.03,0.02,0.02,0.06,0.21,0.1,0.12,0.13
The Farmer Was Replaced,0.03,0.02,0.06,0.05,0.01,0.1,0.06,0.03,0.0,0.0,0.0,0.03,0.02,0.09,0.15,0.14,0.2
The Isle,0.09,0.02,0.14,0.02,0.03,0.14,0.04,0.02,0.0,0.0,0.0,0.03,0.13,0.1,0.12,0.15,0.12
The Long Dark,0.16,0.06,0.2,0.16,0.07,0.14,0.12,0.21,0.07,0.13,0.07,0.26,0.11,0.22,0.14,0.18,0.29
The Sims™ 3,0.19,0.02,0.23,0.04,0.0,0.05,0.0,0.01,0.02,0.03,0.01,0.01,0.01,0.08,0.06,0.14,0.03
The WereCleaner,0.02,0.0,0.03,0.02,0.0,0.16,0.01,0.0,0.0,0.03,0.0,0.01,0.01,0.03,0.15,0.17,0.12
They Are Billions,0.04,0.03,0.08,0.03,0.03,0.16,0.02,0.04,0.0,0.0,0.01,0.02,0.06,0.09,0.14,0.13,0.15
