game_name,total_review_count,최적화#프레임_negative_count,최적화#프레임_mention_count,최적화#프레임_negative_ratio_all_reviews,최적화#조작감_negative_count,최적화#조작감_mention_count,최적화#조작감_negative_ratio_all_reviews,시스템#버그_negative_count,시스템#버그_mention_count,시스템#버그_negative_ratio_all_reviews,콘텐츠#볼륨_negative_count,콘텐츠#볼륨_mention_count,콘텐츠#볼륨_negative_ratio_all_reviews,콘텐츠#몰입도_negative_count,콘텐츠#몰입도_mention_count,콘텐츠#몰입도_negative_ratio_all_reviews,시스템#밸런스_negative_count,시스템#밸런스_mention_count,시스템#밸런스_negative_ratio_all_reviews,시스템#독창성_negative_count,시스템#독창성_mention_count,시스템#독창성_negative_ratio_all_reviews,시스템#자유도_negative_count,시스템#자유도_mention_count,시스템#자유도_negative_ratio_all_reviews,UX#그래픽_negative_count,UX#그래픽_mention_count,UX#그래픽_negative_ratio_all_reviews,UX#캐릭터디자인_negative_count,UX#캐릭터디자인_mention_count,UX#캐릭터디자인_negative_ratio_all_reviews,UX#사운드_negative_count,UX#사운드_mention_count,UX#사운드_negative_ratio_all_reviews,스토리#내러티브_negative_count,스토리#내러티브_mention_count,스토리#내러티브_negative_ratio_all_reviews,운영#핵/치트_negative_count,운영#핵/치트_mention_count,운영#핵/치트_negative_ratio_all_reviews,운영#업데이트_negative_count,운영#업데이트_mention_count,운영#업데이트_negative_ratio_all_reviews,콘텐츠#난이도_negative_count,콘텐츠#난이도_mention_count,콘텐츠#난이도_negative_ratio_all_reviews,시스템#진입장벽_negative_count,시스템#진입장벽_mention_count,시스템#진입장벽_negative_ratio_all_reviews,콘텐츠#피로도_negative_count,콘텐츠#피로도_mention_count,콘텐츠#피로도_negative_ratio_all_reviews
Dota 2,100,0,0,0.0,1,2,0.01,2,2,0.02,1,3,0.01,6,36,0.06,11,12,0.11,2,4,0.02,2,4,0.02,1,3,0.01,1,2,0.01,1,2,0.01,0,0,0.0,5,5,0.05,5,8,0.05,3,3,0.03,8,9,0.08,3,3,0.03
Dragon Age™ Inquisition,100,20,21,0.2,6,8,0.06,24,24,0.24,4,23,0.04,6,63,0.06,20,21,0.2,5,20,0.05,5,20,0.05,6,19,0.06,9,17,0.09,4,12,0.04,6,21,0.06,8,8,0.08,19,27,0.19,20,23,0.2,21,21,0.21,22,22,0.22
Dragon Age™: The Veilguard,100,10,16,0.1,4,15,0.04,17,17,0.17,20,51,0.2,16,90,0.16,31,33,0.31,22,47,0.22,17,49,0.17,7,38,0.07,19,35,0.19,12,25,0.12,18,47,0.18,12,12,0.12,15,27,0.15,25,30,0.25,30,34,0.3,36,37,0.36
Dyson Sphere Program,100,7,12,0.07,1,8,0.01,10,11,0.1,3,17,0.03,1,71,0.01,22,25,0.22,3,20,0.03,0,16,0.0,5,20,0.05,4,11,0.04,2,9,0.02,3,11,0.03,7,8,0.07,13,21,0.13,16,19,0.16,22,23,0.22,15,15,0.15
EVE Online,100,2,3,0.02,1,5,0.01,4,4,0.04,5,17,0.05,3,68,0.03,12,12,0.12,4,11,0.04,4,10,0.04,1,11,0.01,1,6,0.01,1,5,0.01,3,7,0.03,1,1,0.01,6,8,0.06,16,18,0.16,35,36,0.35,10,11,0.1
Elite Dangerous,100,11,13,0.11,2,7,0.02,13,13,0.13,9,31,0.09,4,58,0.04,18,19,0.18,11,24,0.11,5,22,0.05,2,15,0.02,5,7,0.05,5,8,0.05,5,9,0.05,7,7,0.07,25,31,0.25,20,22,0.2,30,32,0.3,20,20,0.2
Eternal Return,100,4,4,0.04,3,3,0.03,4,4,0.04,2,9,0.02,3,56,0.03,15,16,0.15,2,14,0.02,1,12,0.01,2,4,0.02,4,11,0.04,1,1,0.01,1,6,0.01,0,0,0.0,4,9,0.04,12,13,0.12,16,16,0.16,9,9,0.09
Europa Universalis IV,100,6,8,0.06,2,5,0.02,7,7,0.07,6,28,0.06,2,63,0.02,12,12,0.12,2,18,0.02,1,9,0.01,0,6,0.0,0,2,0.0,0,4,0.0,0,7,0.0,4,4,0.04,10,22,0.1,9,11,0.09,18,21,0.18,9,10,0.09
Europa Universalis V,100,30,31,0.3,12,13,0.12,30,30,0.3,9,20,0.09,14,49,0.14,24,25,0.24,14,19,0.14,9,14,0.09,8,13,0.08,10,12,0.1,8,9,0.08,10,10,0.1,9,9,0.09,35,44,0.35,8,8,0.08,19,19,0.19,13,13,0.13
FOR HONOR™,100,5,10,0.05,1,4,0.01,11,12,0.11,4,15,0.04,5,46,0.05,30,30,0.3,2,13,0.02,3,13,0.03,2,8,0.02,2,4,0.02,0,4,0.0,5,11,0.05,4,5,0.04,12,17,0.12,14,17,0.14,20,22,0.2,11,11,0.11
