game_name,total_review_count,최적화#프레임_negative_count,최적화#프레임_mention_count,최적화#프레임_negative_ratio_all_reviews,최적화#조작감_negative_count,최적화#조작감_mention_count,최적화#조작감_negative_ratio_all_reviews,시스템#버그_negative_count,시스템#버그_mention_count,시스템#버그_negative_ratio_all_reviews,콘텐츠#볼륨_negative_count,콘텐츠#볼륨_mention_count,콘텐츠#볼륨_negative_ratio_all_reviews,콘텐츠#몰입도_negative_count,콘텐츠#몰입도_mention_count,콘텐츠#몰입도_negative_ratio_all_reviews,시스템#밸런스_negative_count,시스템#밸런스_mention_count,시스템#밸런스_negative_ratio_all_reviews,시스템#독창성_negative_count,시스템#독창성_mention_count,시스템#독창성_negative_ratio_all_reviews,시스템#자유도_negative_count,시스템#자유도_mention_count,시스템#자유도_negative_ratio_all_reviews,UX#그래픽_negative_count,UX#그래픽_mention_count,UX#그래픽_negative_ratio_all_reviews,UX#캐릭터디자인_negative_count,UX#캐릭터디자인_mention_count,UX#캐릭터디자인_negative_ratio_all_reviews,UX#사운드_negative_count,UX#사운드_mention_count,UX#사운드_negative_ratio_all_reviews,스토리#내러티브_negative_count,스토리#내러티브_mention_count,스토리#내러티브_negative_ratio_all_reviews,운영#핵/치트_negative_count,운영#핵/치트_mention_count,운영#핵/치트_negative_ratio_all_reviews,운영#업데이트_negative_count,운영#업데이트_mention_count,운영#업데이트_negative_ratio_all_reviews,콘텐츠#난이도_negative_count,콘텐츠#난이도_mention_count,콘텐츠#난이도_negative_ratio_all_reviews,시스템#진입장벽_negative_count,시스템#진입장벽_mention_count,시스템#진입장벽_negative_ratio_all_reviews,콘텐츠#피로도_negative_count,콘텐츠#피로도_mention_count,콘텐츠#피로도_negative_ratio_all_reviews
Spectral Scream,100,11,12,0.11,1,4,0.01,12,12,0.12,5,21,0.05,7,58,0.07,20,23,0.2,4,14,0.04,5,17,0.05,2,10,0.02,1,13,0.01,0,3,0.0,2,4,0.02,7,7,0.07,10,17,0.1,12,19,0.12,23,24,0.23,18,19,0.18
Squad,100,16,17,0.16,6,8,0.06,13,13,0.13,2,8,0.02,6,58,0.06,15,16,0.15,2,11,0.02,1,7,0.01,5,11,0.05,1,2,0.01,0,1,0.0,3,5,0.03,5,5,0.05,7,12,0.07,17,18,0.17,23,24,0.23,12,12,0.12
Stacklands,100,8,9,0.08,3,5,0.03,13,13,0.13,5,18,0.05,2,59,0.02,15,15,0.15,3,11,0.03,7,21,0.07,1,8,0.01,5,10,0.05,0,1,0.0,2,7,0.02,3,3,0.03,19,21,0.19,12,18,0.12,14,17,0.14,15,18,0.15
StarSavior,100,8,12,0.08,2,8,0.02,11,12,0.11,7,30,0.07,10,64,0.1,18,19,0.18,7,23,0.07,5,17,0.05,8,19,0.08,8,18,0.08,6,11,0.06,5,15,0.05,5,5,0.05,16,29,0.16,9,14,0.09,9,15,0.09,11,13,0.11
Stellaris,100,3,4,0.03,2,3,0.02,4,4,0.04,7,23,0.07,2,58,0.02,15,16,0.15,2,18,0.02,4,18,0.04,1,3,0.01,0,0,0.0,0,0,0.0,1,9,0.01,1,1,0.01,10,15,0.1,16,18,0.16,15,16,0.15,10,10,0.1
Stick Fight: The Game,100,2,4,0.02,3,3,0.03,6,6,0.06,1,6,0.01,2,57,0.02,11,14,0.11,0,7,0.0,1,6,0.01,2,5,0.02,1,2,0.01,1,1,0.01,0,3,0.0,3,3,0.03,4,7,0.04,6,11,0.06,7,9,0.07,10,11,0.1
Stoneshard,100,8,9,0.08,6,6,0.06,14,14,0.14,10,20,0.1,1,67,0.01,28,29,0.28,6,13,0.06,10,21,0.1,4,8,0.04,4,5,0.04,6,6,0.06,6,12,0.06,10,10,0.1,24,29,0.24,25,27,0.25,24,24,0.24,23,23,0.23
Storm Striker,100,9,11,0.09,2,10,0.02,9,10,0.09,5,16,0.05,3,76,0.03,23,26,0.23,3,15,0.03,6,16,0.06,3,14,0.03,6,13,0.06,2,6,0.02,3,8,0.03,11,11,0.11,20,31,0.2,12,17,0.12,18,26,0.18,12,13,0.12
Stranded Deep,100,18,19,0.18,3,5,0.03,26,26,0.26,8,18,0.08,6,49,0.06,5,5,0.05,0,9,0.0,5,16,0.05,0,4,0.0,0,2,0.0,1,2,0.01,3,8,0.03,3,3,0.03,23,28,0.23,16,18,0.16,19,21,0.19,16,16,0.16
Sword of Convallaria,100,12,12,0.12,3,5,0.03,16,16,0.16,5,18,0.05,4,60,0.04,19,19,0.19,5,21,0.05,5,17,0.05,1,11,0.01,2,9,0.02,3,5,0.03,4,17,0.04,11,11,0.11,24,28,0.24,10,11,0.1,20,23,0.2,13,13,0.13
TRIANGLE STRATEGY,100,3,4,0.03,1,2,0.01,3,3,0.03,8,39,0.08,4,77,0.04,14,14,0.14,4,16,0.04,6,26,0.06,2,17,0.02,3,13,0.03,1,8,0.01,8,22,0.08,3,3,0.03,8,11,0.08,19,24,0.19,24,24,0.24,23,24,0.23
Tabletop Simulator,100,4,5,0.04,1,4,0.01,3,4,0.03,2,17,0.02,1,56,0.01,6,7,0.06,0,5,0.0,0,11,0.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,0.0,1,1,0.01,5,8,0.05,7,8,0.07,14,16,0.14,1,1,0.01
The Bazaar,100,10,12,0.1,3,4,0.03,11,12,0.11,5,18,0.05,8,68,0.08,35,37,0.35,4,15,0.04,7,17,0.07,3,6,0.03,3,4,0.03,2,5,0.02,2,3,0.02,6,6,0.06,21,32,0.21,10,14,0.1,12,15,0.12,13,13,0.13
The Farmer Was Replaced,100,3,7,0.03,2,7,0.02,6,7,0.06,5,20,0.05,1,63,0.01,10,10,0.1,6,25,0.06,3,22,0.03,0,11,0.0,0,6,0.0,0,5,0.0,3,18,0.03,2,2,0.02,9,20,0.09,15,19,0.15,14,16,0.14,20,22,0.2
The Isle,100,9,11,0.09,2,3,0.02,14,15,0.14,2,15,0.02,3,53,0.03,14,16,0.14,4,11,0.04,2,8,0.02,0,4,0.0,0,2,0.0,0,2,0.0,3,4,0.03,13,13,0.13,10,14,0.1,12,13,0.12,15,17,0.15,12,12,0.12
The Long Dark,100,16,17,0.16,6,8,0.06,20,21,0.2,16,31,0.16,7,57,0.07,14,14,0.14,12,21,0.12,21,34,0.21,7,14,0.07,13,14,0.13,7,9,0.07,26,35,0.26,11,11,0.11,22,27,0.22,14,18,0.14,18,19,0.18,29,29,0.29
The Sims™ 3,100,19,21,0.19,2,7,0.02,23,24,0.23,4,20,0.04,0,69,0.0,5,5,0.05,0,18,0.0,1,15,0.01,2,13,0.02,3,8,0.03,1,4,0.01,1,10,0.01,1,2,0.01,8,16,0.08,6,8,0.06,14,14,0.14,3,3,0.03
The WereCleaner,100,2,2,0.02,0,2,0.0,3,3,0.03,2,13,0.02,0,53,0.0,16,17,0.16,1,13,0.01,0,15,0.0,0,24,0.0,3,21,0.03,0,2,0.0,1,6,0.01,1,1,0.01,3,8,0.03,15,22,0.15,17,21,0.17,12,12,0.12
They Are Billions,100,4,5,0.04,3,4,0.03,8,8,0.08,3,14,0.03,3,64,0.03,16,16,0.16,2,6,0.02,4,13,0.04,0,3,0.0,0,2,0.0,1,2,0.01,2,5,0.02,6,6,0.06,9,12,0.09,14,17,0.14,13,15,0.13,15,15,0.15
This War of Mine,100,6,8,0.06,4,6,0.04,8,9,0.08,1,11,0.01,4,61,0.04,11,11,0.11,3,18,0.03,3,15,0.03,2,7,0.02,3,5,0.03,1,5,0.01,0,12,0.0,2,2,0.02,6,7,0.06,11,15,0.11,10,13,0.1,5,5,0.05
Thronefall,100,7,9,0.07,2,8,0.02,6,6,0.06,1,14,0.01,1,76,0.01,21,25,0.21,1,22,0.01,1,25,0.01,0,12,0.0,0,5,0.0,1,5,0.01,1,7,0.01,2,2,0.02,4,13,0.04,19,30,0.19,19,24,0.19,13,14,0.13
Timberborn,100,5,7,0.05,3,5,0.03,7,7,0.07,7,19,0.07,2,68,0.02,11,13,0.11,5,15,0.05,5,28,0.05,3,9,0.03,1,8,0.01,1,1,0.01,2,5,0.02,2,2,0.02,7,11,0.07,19,21,0.19,14,15,0.14,20,20,0.2
Tom Clancy's Ghost Recon® Wildlands,100,14,18,0.14,4,9,0.04,21,22,0.21,5,22,0.05,4,66,0.04,20,20,0.2,6,23,0.06,8,26,0.08,4,17,0.04,3,10,0.03,3,8,0.03,6,18,0.06,4,4,0.04,11,17,0.11,26,29,0.26,23,23,0.23,32,32,0.32
Tom Clancy's Rainbow Six Siege,100,3,3,0.03,3,4,0.03,9,9,0.09,0,9,0.0,2,43,0.02,15,16,0.15,1,12,0.01,1,9,0.01,2,7,0.02,2,5,0.02,2,2,0.02,2,7,0.02,7,7,0.07,9,11,0.09,8,10,0.08,10,13,0.1,7,7,0.07
Tom Clancy’s Splinter Cell Blacklist,100,24,28,0.24,3,7,0.03,29,31,0.29,3,13,0.03,2,59,0.02,10,12,0.1,3,17,0.03,3,17,0.03,1,14,0.01,3,9,0.03,1,7,0.01,1,9,0.01,1,1,0.01,11,14,0.11,7,12,0.07,8,11,0.08,12,12,0.12
Total War: ATTILA,100,8,8,0.08,2,3,0.02,8,8,0.08,6,11,0.06,3,47,0.03,15,15,0.15,1,15,0.01,2,13,0.02,3,11,0.03,1,1,0.01,2,3,0.02,2,11,0.02,2,2,0.02,2,8,0.02,10,13,0.1,12,13,0.12,6,6,0.06
Total War: EMPIRE – Definitive Edition,100,11,13,0.11,3,9,0.03,12,14,0.12,4,15,0.04,3,56,0.03,15,17,0.15,5,27,0.05,5,22,0.05,3,13,0.03,3,7,0.03,2,6,0.02,2,11,0.02,4,5,0.04,14,22,0.14,11,15,0.11,13,15,0.13,7,8,0.07
Total War: MEDIEVAL II – Definitive Edition,100,13,16,0.13,3,12,0.03,11,12,0.11,2,16,0.02,0,56,0.0,12,12,0.12,3,25,0.03,5,18,0.05,3,18,0.03,3,8,0.03,3,9,0.03,1,8,0.01,3,3,0.03,12,20,0.12,12,13,0.12,16,19,0.16,11,11,0.11
Total War: ROME II - Emperor Edition,100,5,6,0.05,0,1,0.0,9,9,0.09,3,9,0.03,2,60,0.02,13,14,0.13,2,14,0.02,1,8,0.01,0,4,0.0,0,1,0.0,0,2,0.0,0,4,0.0,1,2,0.01,5,12,0.05,5,6,0.05,5,7,0.05,10,10,0.1
Total War: SHOGUN 2,100,4,6,0.04,1,3,0.01,7,7,0.07,3,9,0.03,0,55,0.0,13,15,0.13,3,15,0.03,1,12,0.01,2,7,0.02,2,4,0.02,0,2,0.0,1,7,0.01,1,1,0.01,8,11,0.08,10,13,0.1,15,20,0.15,7,7,0.07
Total War: THREE KINGDOMS,100,18,20,0.18,5,10,0.05,14,14,0.14,5,16,0.05,2,56,0.02,7,7,0.07,5,17,0.05,5,17,0.05,1,13,0.01,1,4,0.01,2,4,0.02,0,5,0.0,3,3,0.03,15,20,0.15,8,11,0.08,16,16,0.16,8,8,0.08
Total War: WARHAMMER,100,8,9,0.08,1,5,0.01,12,12,0.12,3,17,0.03,1,56,0.01,8,8,0.08,4,18,0.04,2,11,0.02,0,3,0.0,0,1,0.0,0,3,0.0,1,6,0.01,3,3,0.03,12,20,0.12,5,7,0.05,12,15,0.12,4,5,0.04
Total War: WARHAMMER II,100,4,5,0.04,2,4,0.02,3,3,0.03,4,14,0.04,1,67,0.01,9,11,0.09,5,22,0.05,2,13,0.02,2,8,0.02,2,8,0.02,2,3,0.02,0,5,0.0,1,1,0.01,5,13,0.05,11,13,0.11,14,16,0.14,9,9,0.09
Total War: WARHAMMER III,100,7,7,0.07,3,5,0.03,6,6,0.06,5,20,0.05,2,66,0.02,10,10,0.1,3,22,0.03,0,11,0.0,1,6,0.01,1,2,0.01,1,2,0.01,0,10,0.0,2,3,0.02,8,12,0.08,9,9,0.09,17,21,0.17,9,9,0.09
Totally Accurate Battle Simulator,100,6,8,0.06,1,3,0.01,8,8,0.08,5,12,0.05,3,56,0.03,10,11,0.1,1,9,0.01,2,8,0.02,0,4,0.0,2,4,0.02,0,1,0.0,0,2,0.0,1,1,0.01,18,20,0.18,4,5,0.04,6,6,0.06,4,4,0.04
Two Point Hospital,100,8,11,0.08,2,6,0.02,8,8,0.08,4,29,0.04,3,76,0.03,17,17,0.17,4,16,0.04,1,18,0.01,0,13,0.0,0,4,0.0,0,3,0.0,1,10,0.01,3,3,0.03,14,23,0.14,12,17,0.12,17,21,0.17,20,20,0.2
Two Point Museum,100,1,6,0.01,1,8,0.01,3,5,0.03,5,33,0.05,0,81,0.0,6,11,0.06,0,22,0.0,1,26,0.01,0,18,0.0,1,14,0.01,0,7,0.0,0,11,0.0,1,2,0.01,3,16,0.03,8,20,0.08,8,19,0.08,13,16,0.13
Ultimate Custom Night,100,4,5,0.04,1,2,0.01,9,9,0.09,2,13,0.02,2,48,0.02,9,9,0.09,1,6,0.01,2,11,0.02,0,4,0.0,1,4,0.01,0,3,0.0,0,2,0.0,4,4,0.04,5,7,0.05,16,19,0.16,13,14,0.13,14,15,0.14
Uncharted Waters IV HD Version,100,19,20,0.19,4,7,0.04,24,25,0.24,5,15,0.05,2,61,0.02,10,10,0.1,3,14,0.03,3,11,0.03,0,9,0.0,1,4,0.01,1,5,0.01,2,8,0.02,3,3,0.03,23,30,0.23,8,9,0.08,14,14,0.14,5,5,0.05
Vampire Crawlers: The Turbo Wildcard from Vampire Survivors,100,3,7,0.03,3,5,0.03,5,6,0.05,15,33,0.15,8,86,0.08,19,21,0.19,9,30,0.09,4,26,0.04,2,11,0.02,5,9,0.05,3,6,0.03,4,8,0.04,1,1,0.01,12,21,0.12,14,22,0.14,22,25,0.22,23,23,0.23
Victoria 3,100,14,14,0.14,3,5,0.03,15,15,0.15,7,14,0.07,5,52,0.05,22,22,0.22,4,14,0.04,3,8,0.03,3,9,0.03,2,2,0.02,1,2,0.01,1,5,0.01,6,6,0.06,19,23,0.19,8,9,0.08,16,16,0.16,8,8,0.08
"Warhammer 40,000: Chaos Gate - Daemonhunters",100,11,13,0.11,4,7,0.04,16,16,0.16,8,26,0.08,4,63,0.04,35,37,0.35,7,28,0.07,5,24,0.05,3,13,0.03,4,8,0.04,3,6,0.03,3,12,0.03,3,3,0.03,23,40,0.23,23,27,0.23,25,25,0.25,22,22,0.22
"Warhammer 40,000: Dawn of War III",100,14,15,0.14,2,3,0.02,13,13,0.13,14,25,0.14,15,62,0.15,23,23,0.23,17,25,0.17,9,20,0.09,4,10,0.04,5,9,0.05,3,4,0.03,8,12,0.08,6,6,0.06,25,32,0.25,18,18,0.18,21,21,0.21,14,14,0.14
Wartales,100,2,2,0.02,0,0,0.0,3,3,0.03,0,10,0.0,2,66,0.02,9,9,0.09,0,5,0.0,3,7,0.03,0,0,0.0,0,0,0.0,0,0,0.0,0,3,0.0,3,3,0.03,4,7,0.04,8,9,0.08,11,11,0.11,5,5,0.05
Who's Your Daddy?!,100,12,12,0.12,1,1,0.01,22,23,0.22,2,3,0.02,6,41,0.06,8,8,0.08,1,1,0.01,0,1,0.0,1,3,0.01,0,2,0.0,0,0,0.0,0,2,0.0,4,4,0.04,6,8,0.06,5,7,0.05,13,13,0.13,7,7,0.07
World of Tanks,100,14,14,0.14,4,6,0.04,16,17,0.16,5,14,0.05,10,60,0.1,34,34,0.34,7,14,0.07,3,11,0.03,2,6,0.02,3,3,0.03,2,3,0.02,1,3,0.01,8,8,0.08,27,36,0.27,12,13,0.12,21,22,0.21,10,10,0.1
World of Tanks Blitz,100,9,10,0.09,1,1,0.01,9,10,0.09,1,9,0.01,6,47,0.06,23,23,0.23,3,8,0.03,1,7,0.01,1,2,0.01,0,1,0.0,0,0,0.0,1,4,0.01,3,3,0.03,14,15,0.14,13,15,0.13,12,13,0.12,13,14,0.13
X4: Foundations,100,15,21,0.15,7,14,0.07,17,20,0.17,8,36,0.08,4,76,0.04,27,30,0.27,3,35,0.03,9,35,0.09,1,15,0.01,1,9,0.01,1,9,0.01,5,16,0.05,6,6,0.06,8,20,0.08,32,37,0.32,40,42,0.4,32,32,0.32
XCOM: Enemy Unknown,100,11,12,0.11,3,6,0.03,16,17,0.16,1,11,0.01,1,58,0.01,19,21,0.19,1,14,0.01,1,11,0.01,1,9,0.01,0,1,0.0,2,4,0.02,1,6,0.01,2,2,0.02,7,17,0.07,17,22,0.17,14,17,0.14,13,13,0.13
XCOM® 2,100,3,3,0.03,2,2,0.02,7,7,0.07,3,17,0.03,1,63,0.01,15,16,0.15,4,13,0.04,2,16,0.02,0,4,0.0,1,3,0.01,0,0,0.0,1,5,0.01,0,0,0.0,7,14,0.07,16,20,0.16,10,11,0.1,12,12,0.12
Yu-Gi-Oh! Duel Links,100,5,5,0.05,4,4,0.04,4,4,0.04,5,21,0.05,3,57,0.03,23,23,0.23,2,20,0.02,3,18,0.03,4,12,0.04,4,9,0.04,2,3,0.02,2,6,0.02,2,2,0.02,10,17,0.1,18,23,0.18,19,24,0.19,15,15,0.15
Yu-Gi-Oh! Master Duel,100,4,4,0.04,1,1,0.01,6,6,0.06,0,8,0.0,1,42,0.01,18,18,0.18,0,11,0.0,2,17,0.02,0,1,0.0,0,0,0.0,0,0,0.0,0,5,0.0,5,5,0.05,4,8,0.04,7,8,0.07,10,11,0.1,14,15,0.14
shapez,100,5,7,0.05,3,8,0.03,9,9,0.09,5,33,0.05,1,71,0.01,10,14,0.1,2,21,0.02,2,27,0.02,2,9,0.02,3,7,0.03,2,6,0.02,2,11,0.02,2,2,0.02,4,12,0.04,13,24,0.13,13,23,0.13,28,36,0.28
shapez 2 - Factory,100,9,19,0.09,4,15,0.04,14,16,0.14,6,40,0.06,0,87,0.0,16,18,0.16,2,26,0.02,5,33,0.05,1,17,0.01,3,10,0.03,0,9,0.0,1,13,0.01,4,4,0.04,11,27,0.11,14,27,0.14,25,29,0.25,25,27,0.25
theHunter: Call of the Wild™,100,11,16,0.11,6,12,0.06,11,13,0.11,7,27,0.07,2,54,0.02,22,25,0.22,1,16,0.01,6,19,0.06,1,18,0.01,1,9,0.01,2,9,0.02,1,11,0.01,2,2,0.02,17,22,0.17,17,23,0.17,20,25,0.2,20,23,0.2
